wellbore_name,well_name,discovery_name,field_name,production_licence_name,drill_permit,drill_permit_version,drill_oper_group_designation,drill_oper_long_name,drilling_facility_name,wellbore_entry_date,wellbore_completion_date,drilling_days,main_NCS_area,quadrant,block,well_number_in_block,NS_decimal_degrees,EW_decimal_degrees,geodetic_datum,NS_UTM,EW_UTM,UTM_zone,seismic_location,reentry_activity,wellbore_status,wellbore_contents,wellbore_purpose,original_wellbore_purpose,total_depth,kelly_bushing_elevation,water_depth,deepest_penetrated_age,date_generated,NPDID_wellbore,NPDID_discovery,NPDID_field,NPDID_facility_drilling,NPDID_production_licence,www.npd.no/engelsk/cwi/pbl/en/well/all/*.htm
31/2-1,31/2-1,31/2-1 TROLL VEST,TROLL,054,219,L,SHELL,A/S Norske Shell,BORGNY DOLPHIN,17.07.1979,09.11.1979,116,NORTH SEA,31,2,1,60.771989,3.554408,ED50,6737677.61,530201.6,31,77 - 6046 SP 461,,,OIL/GAS,WILDCAT,WILDCAT,2433,24,324,LATE TRIASSIC,24.03.2006,398,44534,46437,288280,21228,398
31/2-1 R,31/2-1,31/2-1 TROLL VEST,TROLL,054,219,L2,SHELL,A/S Norske Shell,BORGNY DOLPHIN,26.10.1981,09.11.1981,15,NORTH SEA,31,2,1,60.771989,3.554408,ED50,6737677.61,530201.6,31,77-6046 SP.461,PLUGGING,P&A,OIL/GAS,WILDCAT,WILDCAT,2432,25,324,LATE TRIASSIC,24.03.2006,505,44534,46437,288280,21228,505
31/2-2,31/2-2,31/2-1 TROLL VEST,TROLL,054,241,L,SHELL,A/S Norske Shell,WEST VENTURE OLD,27.02.1980,23.04.1980,57,NORTH SEA,31,2,2,60.779944,3.623194,ED50,6738597.32,533940.27,31,79416 SP.200,,SUSP.REENTERED LATER,OIL/GAS,APPRAISAL,WILDCAT,1890,32,323,MIDDLE JURASSIC,24.03.2006,227,44534,46437,362494,21228,227
31/2-2 R,31/2-2,31/2-1 TROLL VEST,TROLL,054,241,L2,SHELL,A/S Norske Shell,WEST VENTURE OLD,28.05.1980,30.09.1980,126,NORTH SEA,31,2,2,60.779944,3.623194,ED50,6738597.32,533940.27,31,79416 SP.200,DRILLING/PLUGGING,P&A,OIL/GAS,APPRAISAL,WILDCAT,2600,32,323,TRIASSIC,24.03.2006,504,44534,46437,362494,21228,504
31/2-3,31/2-3,31/2-1 TROLL VEST,TROLL,054,247,L,SHELL,A/S Norske Shell,BORGNY DOLPHIN,28.03.1980,20.07.1980,115,NORTH SEA,31,2,3,60.841067,3.586339,ED50,6745386.82,531872.26,31,62-4421 SP.175,,P&A,OIL/GAS,APPRAISAL,APPRAISAL,2601,25,334,LATE TRIASSIC,24.03.2006,236,44534,46437,288280,21228,236
31/2-4,31/2-4,31/2-1 TROLL VEST,TROLL,054,261,L,SHELL,A/S Norske Shell,BORGNY DOLPHIN,01.09.1980,13.09.1980,13,NORTH SEA,31,2,4,60.856547,3.512314,ED50,6747077.42,527835,31,TLGS 78 - 6C & D - 26,,SUSP.REENTERED LATER,DRY,APPRAISAL,WILDCAT,815,25,336,OLIGOCENE,24.03.2006,208,44534,46437,288280,21228,208
31/2-4 R,31/2-4,31/2-1 TROLL VEST,TROLL,054,261,L2,SHELL,A/S Norske Shell,BORGNY DOLPHIN,09.10.1980,06.04.1981,180,NORTH SEA,31,2,4,60.856547,3.512314,ED50,6747077.42,527835,31,624445  SP: 195,DRILLING,SUSP.REENTERED LATER,OIL/GAS,APPRAISAL,WILDCAT,5035,25,336,EARLY TRIASSIC,24.03.2006,502,44534,46437,288280,21228,502
31/2-4 R2,31/2-4,31/2-1 TROLL VEST,TROLL,054,261,L3,SHELL,A/S Norske Shell,BORGNY DOLPHIN,04.11.1982,12.11.1982,9,NORTH SEA,31,2,4,60.856547,3.512314,ED50,6747077.42,527835,31,624445 SP.195,PLUGGING,P&A,OIL/GAS,APPRAISAL,WILDCAT,5035,25,336,EARLY TRIASSIC,24.03.2006,503,44534,46437,288280,21228,503
31/2-5,31/2-5,31/2-1 TROLL VEST,TROLL,054,263,L,SHELL,A/S Norske Shell,WEST VENTURE OLD,26.10.1980,21.12.1980,57,NORTH SEA,31,2,5,60.771167,3.431517,ED50,6737535.76,523507.71,31,79421 SP. 274,,SUSP.REENTERED LATER,OIL/GAS,APPRAISAL,WILDCAT,2532,32,333,TRIASSIC,24.03.2006,210,44534,46437,362494,21228,210
31/2-5 R,31/2-5,31/2-1 TROLL VEST,TROLL,054,263,L2,SHELL,A/S Norske Shell,BORGNY DOLPHIN,12.06.1981,20.07.1981,39,NORTH SEA,31,2,5,60.771167,3.431517,ED50,6737535.76,523507.71,31,79421   SP. 274,TESTING,SUSP.REENTERED LATER,OIL/GAS,APPRAISAL,WILDCAT,2525,25,333,TRIASSIC,24.03.2006,500,44534,46437,288280,21228,500
