Easting,Northing,Depth,PHI,Vsh
504000,6856000,881.07,0.231090909,0.69
504000,6856000,881.23,0.221454545,0.69
504000,6856000,881.38,0.235636364,0.73
504000,6856000,881.53,0.236545455,0.7
504000,6856000,881.68,0.235272727,0.65
504000,6856000,881.84,0.236181818,0.68
504000,6856000,881.99,0.230484848,0.71
504000,6856000,882.14,0.224060606,0.71
504000,6856000,882.29,0.228909091,0.69
504000,6856000,882.44,0.236484848,0.65
504000,6856000,882.6,0.235151515,0.7
504000,6856000,882.75,0.231030303,0.69
504000,6856000,882.9,0.222787879,0.66
504000,6856000,883.05,0.224121212,0.68
504000,6856000,883.21,0.225818182,0.71
504000,6856000,883.36,0.229878788,0.71
504000,6856000,883.51,0.229878788,0.67
504000,6856000,883.66,0.218909091,0.6
504000,6856000,883.82,0.212606061,0.65
504000,6856000,883.97,0.212969697,0.66
504000,6856000,884.12,0.202848485,0.69
504000,6856000,884.27,0.198484848,0.75
504000,6856000,884.43,0.211454545,0.66
504000,6856000,884.58,0.214666667,0.68
504000,6856000,884.73,0.215272727,0.68
504000,6856000,884.88,0.224969697,0.66
504000,6856000,885.04,0.218606061,0.65
504000,6856000,885.19,0.215939394,0.61
504000,6856000,885.34,0.219393939,0.63
504000,6856000,885.49,0.204181818,0.67
504000,6856000,885.65,0.201818182,0.65
504000,6856000,885.8,0.208363636,0.67
504000,6856000,885.95,0.205515152,0.67
504000,6856000,886.1,0.204848485,0.65
504000,6856000,886.25,0.214,0.67
504000,6856000,886.41,0.206181818,0.69
504000,6856000,886.56,0.194242424,0.68
504000,6856000,886.71,0.211575758,0.67
504000,6856000,886.86,0.224848485,0.65
504000,6856000,887.02,0.205090909,0.69
504000,6856000,887.17,0.210242424,0.7
504000,6856000,887.32,0.230606061,0.68
504000,6856000,887.47,0.220969697,0.69
504000,6856000,887.63,0.218727273,0.68
504000,6856000,887.78,0.246848485,0.68
504000,6856000,887.93,0.262666667,0.72
504000,6856000,888.08,0.255090909,0.74
504000,6856000,888.24,0.249393939,0.73
504000,6856000,888.39,0.252242424,0.69
504000,6856000,888.54,0.254787879,0.74
504000,6856000,888.69,0.252727273,0.76
504000,6856000,888.85,0.247636364,0.76
504000,6856000,889,0.239575758,0.72
504000,6856000,889.15,0.237090909,0.67
504000,6856000,889.3,0.23169697,0.71
504000,6856000,889.46,0.237272727,0.74
504000,6856000,889.61,0.240363636,0.7
504000,6856000,889.76,0.232060606,0.64
504000,6856000,889.91,0.224909091,0.7
504000,6856000,890.06,0.231636364,0.75
504000,6856000,890.22,0.238121212,0.71
504000,6856000,890.37,0.22830303,0.68
504000,6856000,890.52,0.227515152,0.69
504000,6856000,890.67,0.224181818,0.74
504000,6856000,890.83,0.227454545,0.73
504000,6856000,890.98,0.226606061,0.65
504000,6856000,891.13,0.226242424,0.71
504000,6856000,891.28,0.227272727,0.74
504000,6856000,891.44,0.231030303,0.74
504000,6856000,891.59,0.239636364,0.72
504000,6856000,891.74,0.236848485,0.7
504000,6856000,891.89,0.223515152,0.76
504000,6856000,892.05,0.217636364,0.71
504000,6856000,892.2,0.230666667,0.64
504000,6856000,892.35,0.237212121,0.68
504000,6856000,892.5,0.231515152,0.66
504000,6856000,892.66,0.233030303,0.69
