DEPTH,Northing,Easting,PHI,Vsh,Easting,Northing
 0.8815000E+03,0.6856000E+07,0.5040000E+06,0.2323810E+00,0.6928571E+00,0.1720038E-38,0.1401298E-44,
 0.8825000E+03,0.6856000E+07,0.5040000E+06,0.2297374E+00,0.6833333E+00,0.1720038E-38,0.1401298E-44,
 0.8835000E+03,0.6856000E+07,0.5040000E+06,0.2220260E+00,0.6685714E+00,0.1720038E-38,0.1401298E-44,
 0.8845000E+03,0.6856000E+07,0.5040000E+06,0.2112828E+00,0.6866667E+00,0.1720038E-38,0.1401298E-44,
 0.8855000E+03,0.6856000E+07,0.5040000E+06,0.2105455E+00,0.6500000E+00,0.1720038E-38,0.1401298E-44,
 0.8865000E+03,0.6856000E+07,0.5040000E+06,0.2092828E+00,0.6683334E+00,0.1720038E-38,0.1401298E-44,
 0.8875000E+03,0.6856000E+07,0.5040000E+06,0.2278788E+00,0.6914286E+00,0.1720038E-38,0.1401298E-44,
 0.8885000E+03,0.6856000E+07,0.5040000E+06,0.2519798E+00,0.7366667E+00,0.1720038E-38,0.1401298E-44,
 0.8895000E+03,0.6856000E+07,0.5040000E+06,0.2347100E+00,0.6971428E+00,0.1720038E-38,0.1401298E-44,
 0.8905000E+03,0.6856000E+07,0.5040000E+06,0.2291169E+00,0.7071428E+00,0.1720038E-38,0.1401298E-44,
 0.8915000E+03,0.6856000E+07,0.5040000E+06,0.2307576E+00,0.7283334E+00,0.1720038E-38,0.1401298E-44,
 0.8925000E+03,0.6856000E+07,0.5040000E+06,0.2348225E+00,0.6900000E+00,0.1720038E-38,0.1401298E-44,
 0.8935000E+03,0.6856000E+07,0.5040000E+06,0.2439394E+00,0.7166666E+00,0.1720038E-38,0.1401298E-44,
 0.8945000E+03,0.6856000E+07,0.5040000E+06,0.2450130E+00,0.7514286E+00,0.1720038E-38,0.1401298E-44,
 0.8955000E+03,0.6856000E+07,0.5040000E+06,0.2517980E+00,0.7433333E+00,0.1720038E-38,0.1401298E-44,
 0.8965000E+03,0.6856000E+07,0.5040000E+06,0.2449610E+00,0.7514286E+00,0.1720038E-38,0.1401298E-44,
 0.8975000E+03,0.6856000E+07,0.5040000E+06,0.2461558E+00,0.7114286E+00,0.1720038E-38,0.1401298E-44,
 0.8985000E+03,0.6856000E+07,0.5040000E+06,0.2392424E+00,0.7433333E+00,0.1720038E-38,0.1401298E-44,
 0.8995000E+03,0.6856000E+07,0.5040000E+06,0.2487446E+00,0.7242857E+00,0.1720038E-38,0.1401298E-44,
 0.9005000E+03,0.6856000E+07,0.5040000E+06,0.2490101E+00,0.7566667E+00,0.1720038E-38,0.1401298E-44,
 0.9015000E+03,0.6856000E+07,0.5040000E+06,0.2397576E+00,0.7242857E+00,0.1720038E-38,0.1401298E-44,
 0.9025000E+03,0.6856000E+07,0.5040000E+06,0.2378687E+00,0.7266667E+00,0.1720038E-38,0.1401298E-44,
 0.9035000E+03,0.6856000E+07,0.5040000E+06,0.2424329E+00,0.7428572E+00,0.1720038E-38,0.1401298E-44,
 0.9045000E+03,0.6856000E+07,0.5040000E+06,0.2454747E+00,0.7266667E+00,0.1720038E-38,0.1401298E-44,
 0.9055000E+03,0.6856000E+07,0.5040000E+06,0.2441126E+00,0.7471429E+00,0.1720038E-38,0.1401298E-44,
 0.9065000E+03,0.6856000E+07,0.5040000E+06,0.2438182E+00,0.7557143E+00,0.1720038E-38,0.1401298E-44,
 0.9075000E+03,0.6856000E+07,0.5040000E+06,0.2354343E+00,0.7350000E+00,0.1720038E-38,0.1401298E-44,
 0.9085000E+03,0.6856000E+07,0.5040000E+06,0.2394372E+00,0.7271429E+00,0.1720038E-38,0.1401298E-44,
 0.9095000E+03,0.6856000E+07,0.5040000E+06,0.2254040E+00,0.6750000E+00,0.1720038E-38,0.1401298E-44,
 0.9105000E+03,0.6856000E+07,0.5040000E+06,0.2368139E+00,0.6900000E+00,0.1720038E-38,0.1401298E-44,
 0.9115000E+03,0.6856000E+07,0.5040000E+06,0.2287374E+00,0.6966667E+00,0.1720038E-38,0.1401298E-44,
 0.9125000E+03,0.6856000E+07,0.5040000E+06,0.2220346E+00,0.6671429E+00,0.1720038E-38,0.1401298E-44,
 0.9135000E+03,0.6856000E+07,0.5040000E+06,0.2251082E+00,0.7014286E+00,0.1720038E-38,0.1401298E-44,
 0.9145000E+03,0.6856000E+07,0.5040000E+06,0.2331515E+00,0.6616667E+00,0.1720038E-38,0.1401298E-44,
 0.9155000E+03,0.6856000E+07,0.5040000E+06,0.2285195E+00,0.6985714E+00,0.1720038E-38,0.1401298E-44,
