Easting,Northing,Depth,Age,Layer.sub,Vsh,Vca,Vcp,Vom,Vev,Vig,Vss,Porosity,K_{mD},PeHg_{MPa},Closure_{m},Vms,Shc,Sgas,Soil,GasColumn,OilColumn,Pc_Pe_{MPa},Pc_{MPa},GOC,OWC,FlowDirection,TotalPressure,LeakOffPressure,Temperature_{C},TWT,Vitrinite,Sublayer Thickness_{m},Sublayer Duration_{My}
   483250.00    ,  6845250.0    , -397.04669    , -0.0000000    ,  1.0010000    , 0.94999999    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.50000012E-01, 0.62300003    , 0.55000003E-01,  1.2464656    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  3.8950284    ,  3.9720669    ,  4.0000000    , -397.04669    , 0.20189652    ,  245.79483    ,  1.6666666    ,
   483250.00    ,  6845250.0    , -642.84155    , -1.6666666    ,  1.0020000    , 0.94999999    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.50000012E-01, 0.55122370    , 0.55000003E-01,  1.2464656    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  9.1997719    ,  7.9648075    ,  16.043947    , -642.84155    , 0.20189652    ,  245.79483    ,  1.6666666    ,
   483250.00    ,  6845250.0    , -888.63635    , -3.3333333    ,  1.0030000    , 0.94999999    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.50000012E-01, 0.48771682    , 0.55000003E-01,  1.2464656    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  14.504515    ,  12.082396    ,  28.087894    , -888.63635    , 0.20189652    ,  245.79480    ,  1.6666667    ,
   483250.00    ,  6845250.0    , -1134.4312    , -5.0000000    ,  2.0009999    , 0.94999999    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.50000012E-01, 0.43152663    , 0.55000003E-01,  1.2464656    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  19.809258    ,  16.323229    ,  40.131836    , -1134.4312    , 0.20189652    ,  341.67560    ,  25.000000    ,
   483250.00    ,  6845250.0    , -1476.1067    , -30.000000    ,  2.0020001    , 0.94999999    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.50000012E-01, 0.36400759    , 0.19876497E-01,  1.7440054    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  27.183300    ,  22.423084    ,  56.873940    , -1476.1067    , 0.20189652    ,  341.67560    ,  25.000000    ,
   483250.00    ,  6845250.0    , -1817.7823    , -55.000000    ,  3.0009999    , 0.49999997E-01,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.94999999    , 0.33293343    ,  1447.8887    , 0.43346837E-01,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  34.557343    ,  28.761095    ,  73.616051    , -1817.7823    , 0.20189652    ,  14.909314    ,  1.0000000    ,
   483250.00    ,  6845250.0    , -1832.6917    , -56.000000    ,  3.0020001    , 0.49999997E-01,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.94999999    , 0.33153659    ,  1381.4437    , 0.44024039E-01,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  34.879116    ,  29.043083    ,  74.346603    , -1832.6917    , 0.20189652    ,  14.909314    ,  1.0000000    ,
   483250.00    ,  6845250.0    , -1847.6010    , -57.000000    ,  3.0030000    , 0.49999997E-01,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.94999999    , 0.33014560    ,  1318.6879    , 0.44704676E-01,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  35.200890    ,  29.325525    ,  75.077156    , -1847.6010    , 0.20189652    ,  14.909315    ,  1.0000000    ,
   483250.00    ,  6845250.0    , -1862.5103    , -58.000000    ,  3.0039999    , 0.49999997E-01,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.94999999    , 0.32876042    ,  1259.3801    , 0.45388736E-01,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  35.522663    ,  29.608419    ,  75.807709    , -1862.5103    , 0.20189652    ,  14.909313    ,  1.0000000    ,
   483250.00    ,  6845250.0    , -1877.4196    , -59.000000    ,  3.0050001    , 0.49999997E-01,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.94999999    , 0.32738110    ,  1203.3024    , 0.46076156E-01,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  35.844437    ,  29.891768    ,  76.538277    , -1877.4196    , 0.20189652    ,  14.909313    ,  1.0000000    ,
