DEPTH,Northing,Easting,PHI,Vsh,Easting,Northing
  0.881500E+03, 0.685600E+07, 0.504000E+06, 0.232381E+00, 0.692857E+00, 0.172004E-38, 0.140130E-44,
  0.882500E+03, 0.685600E+07, 0.504000E+06, 0.229737E+00, 0.683333E+00, 0.172004E-38, 0.140130E-44,
  0.883500E+03, 0.685600E+07, 0.504000E+06, 0.222026E+00, 0.668571E+00, 0.172004E-38, 0.140130E-44,
  0.884500E+03, 0.685600E+07, 0.504000E+06, 0.211283E+00, 0.686667E+00, 0.172004E-38, 0.140130E-44,
  0.885500E+03, 0.685600E+07, 0.504000E+06, 0.210545E+00, 0.650000E+00, 0.172004E-38, 0.140130E-44,
  0.886500E+03, 0.685600E+07, 0.504000E+06, 0.209283E+00, 0.668333E+00, 0.172004E-38, 0.140130E-44,
  0.887500E+03, 0.685600E+07, 0.504000E+06, 0.227879E+00, 0.691429E+00, 0.172004E-38, 0.140130E-44,
  0.888500E+03, 0.685600E+07, 0.504000E+06, 0.251980E+00, 0.736667E+00, 0.172004E-38, 0.140130E-44,
  0.889500E+03, 0.685600E+07, 0.504000E+06, 0.234710E+00, 0.697143E+00, 0.172004E-38, 0.140130E-44,
  0.890500E+03, 0.685600E+07, 0.504000E+06, 0.229117E+00, 0.707143E+00, 0.172004E-38, 0.140130E-44,
  0.891500E+03, 0.685600E+07, 0.504000E+06, 0.230758E+00, 0.728333E+00, 0.172004E-38, 0.140130E-44,
  0.892500E+03, 0.685600E+07, 0.504000E+06, 0.234822E+00, 0.690000E+00, 0.172004E-38, 0.140130E-44,
  0.893500E+03, 0.685600E+07, 0.504000E+06, 0.243939E+00, 0.716667E+00, 0.172004E-38, 0.140130E-44,
  0.894500E+03, 0.685600E+07, 0.504000E+06, 0.245013E+00, 0.751429E+00, 0.172004E-38, 0.140130E-44,
  0.895500E+03, 0.685600E+07, 0.504000E+06, 0.251798E+00, 0.743333E+00, 0.172004E-38, 0.140130E-44,
  0.896500E+03, 0.685600E+07, 0.504000E+06, 0.244961E+00, 0.751429E+00, 0.172004E-38, 0.140130E-44,
