Depth,Vscale,Age,
  0.530177E+03, 0.521365E+00, 0.000000E+00,
  0.530329E+03, 0.526878E+00, 0.329184E-01,
  0.530482E+03, 0.537996E+00, 0.658368E-01,
  0.530634E+03, 0.549929E+00, 0.987552E-01,
  0.530787E+03, 0.555271E+00, 0.131674E+00,
  0.530939E+03, 0.550320E+00, 0.164592E+00,
  0.531091E+03, 0.538983E+00, 0.197510E+00,
  0.531244E+03, 0.528826E+00, 0.230429E+00,
  0.531396E+03, 0.524354E+00, 0.263347E+00,
  0.531549E+03, 0.528041E+00, 0.296266E+00,
  0.531701E+03, 0.541417E+00, 0.329184E+00,
  0.531853E+03, 0.557326E+00, 0.362102E+00,
  0.532006E+03, 0.563179E+00, 0.395021E+00,
  0.532158E+03, 0.554913E+00, 0.427939E+00,
  0.532311E+03, 0.538142E+00, 0.460858E+00,
  0.532463E+03, 0.518982E+00, 0.493776E+00,
  0.532615E+03, 0.500669E+00, 0.526694E+00,
  0.532768E+03, 0.486547E+00, 0.559613E+00,
  0.532920E+03, 0.479218E+00, 0.592531E+00,
  0.533073E+03, 0.477068E+00, 0.625450E+00,
  0.533225E+03, 0.474744E+00, 0.658368E+00,
  0.533377E+03, 0.469516E+00, 0.691286E+00,
  0.533530E+03, 0.467504E+00, 0.724205E+00,
  0.533682E+03, 0.473929E+00, 0.757123E+00,
  0.533835E+03, 0.484903E+00, 0.790042E+00,
  0.533987E+03, 0.496385E+00, 0.822960E+00,
  0.534139E+03, 0.504942E+00, 0.855878E+00,
  0.534292E+03, 0.506877E+00, 0.888797E+00,
  0.534444E+03, 0.505247E+00, 0.921715E+00,
  0.534597E+03, 0.504857E+00, 0.954634E+00,
  0.534749E+03, 0.507127E+00, 0.987552E+00,
  0.534901E+03, 0.513256E+00, 0.102047E+01,
  0.535054E+03, 0.523825E+00, 0.105339E+01,
  0.535206E+03, 0.539106E+00, 0.108631E+01,
  0.535359E+03, 0.558526E+00, 0.111923E+01,
  0.535511E+03, 0.580199E+00, 0.115214E+01,
  0.535663E+03, 0.600914E+00, 0.118506E+01,
  0.535816E+03, 0.615895E+00, 0.121798E+01,
  0.535968E+03, 0.619051E+00, 0.125090E+01,
  0.536121E+03, 0.602295E+00, 0.128382E+01,
  0.536273E+03, 0.564443E+00, 0.131674E+01,
  0.536425E+03, 0.524344E+00, 0.134965E+01,
  0.536578E+03, 0.505697E+00, 0.138257E+01,
  0.536730E+03, 0.509523E+00, 0.141549E+01,
  0.536883E+03, 0.520245E+00, 0.144841E+01,
  0.537035E+03, 0.527581E+00, 0.148133E+01,
  0.537187E+03, 0.530697E+00, 0.151425E+01,
  0.537340E+03, 0.531576E+00, 0.154716E+01,
  0.537492E+03, 0.532054E+00, 0.158008E+01,
  0.537645E+03, 0.535348E+00, 0.161300E+01,
  0.537797E+03, 0.545379E+00, 0.164592E+01,
  0.537949E+03, 0.560405E+00, 0.167884E+01,
  0.538102E+03, 0.572486E+00, 0.171176E+01,
  0.538254E+03, 0.574492E+00, 0.174468E+01,
  0.538407E+03, 0.564701E+00, 0.177759E+01,
  0.538559E+03, 0.552480E+00, 0.181051E+01,
  0.538711E+03, 0.550067E+00, 0.184343E+01,
  0.538864E+03, 0.556184E+00, 0.187635E+01,
  0.539016E+03, 0.560054E+00, 0.190927E+01,
  0.539169E+03, 0.554603E+00, 0.194219E+01,
  0.539321E+03, 0.542770E+00, 0.197510E+01,
  0.539473E+03, 0.531874E+00, 0.200802E+01,
  0.539626E+03, 0.523776E+00, 0.204094E+01,
  0.539778E+03, 0.516560E+00, 0.207386E+01,
  0.539931E+03, 0.513360E+00, 0.210678E+01,
  0.540083E+03, 0.518247E+00, 0.213970E+01,
  0.540235E+03, 0.526918E+00, 0.217261E+01,
  0.540388E+03, 0.532676E+00, 0.220553E+01,
  0.540540E+03, 0.534762E+00, 0.223845E+01,
  0.540693E+03, 0.537227E+00, 0.227137E+01,
  0.540845E+03, 0.544534E+00, 0.230429E+01,
  0.540997E+03, 0.556548E+00, 0.233721E+01,
  0.541150E+03, 0.570234E+00, 0.237012E+01,
  0.541302E+03, 0.585839E+00, 0.240304E+01,
  0.541455E+03, 0.602697E+00, 0.243596E+01,
  0.541607E+03, 0.615777E+00, 0.246888E+01,
  0.541759E+03, 0.621803E+00, 0.250180E+01,
  0.541912E+03, 0.622081E+00, 0.253472E+01,
  0.542064E+03, 0.620437E+00, 0.256764E+01,
  0.542217E+03, 0.620471E+00, 0.260055E+01,
  0.542369E+03, 0.621413E+00, 0.263347E+01,
  0.542521E+03, 0.619607E+00, 0.266639E+01,
  0.542674E+03, 0.612381E+00, 0.269931E+01,
  0.542826E+03, 0.596967E+00, 0.273223E+01,
  0.542979E+03, 0.575261E+00, 0.276515E+01,
  0.543131E+03, 0.553639E+00, 0.279806E+01,
  0.543283E+03, 0.533964E+00, 0.283098E+01,
  0.543436E+03, 0.513717E+00, 0.286390E+01,
  0.543588E+03, 0.492841E+00, 0.289682E+01,
  0.543741E+03, 0.474874E+00, 0.292974E+01,
  0.543893E+03, 0.460904E+00, 0.296266E+01,
  0.544045E+03, 0.452007E+00, 0.299557E+01,
  0.544198E+03, 0.451129E+00, 0.302849E+01,
  0.544350E+03, 0.456052E+00, 0.306141E+01,
  0.544503E+03, 0.463065E+00, 0.309433E+01,
  0.544655E+03, 0.472762E+00, 0.312725E+01,
  0.544807E+03, 0.485560E+00, 0.316017E+01,
  0.544960E+03, 0.498937E+00, 0.319308E+01,
  0.545112E+03, 0.510044E+00, 0.322600E+01,
  0.545265E+03, 0.517121E+00, 0.325892E+01,
  0.545417E+03, 0.519608E+00, 0.329184E+01,
  0.545569E+03, 0.517395E+00, 0.332476E+01,
  0.545722E+03, 0.509237E+00, 0.335768E+01,
  0.545874E+03, 0.495556E+00, 0.339060E+01,
  0.546027E+03, 0.481362E+00, 0.342351E+01,
  0.546179E+03, 0.472747E+00, 0.345643E+01,
  0.546331E+03, 0.471796E+00, 0.348935E+01,
  0.546484E+03, 0.475089E+00, 0.352227E+01,
  0.546636E+03, 0.477955E+00, 0.355519E+01,
  0.546789E+03, 0.479835E+00, 0.358811E+01,
  0.546941E+03, 0.482692E+00, 0.362102E+01,
  0.547093E+03, 0.486982E+00, 0.365394E+01,
  0.547246E+03, 0.491615E+00, 0.368686E+01,
  0.547398E+03, 0.495905E+00, 0.371978E+01,
  0.547551E+03, 0.499910E+00, 0.375270E+01,
  0.547703E+03, 0.502623E+00, 0.378562E+01,
  0.547855E+03, 0.502868E+00, 0.381853E+01,
  0.548008E+03, 0.502403E+00, 0.385145E+01,
  0.548160E+03, 0.504550E+00, 0.388437E+01,
  0.548313E+03, 0.509792E+00, 0.391729E+01,
  0.548465E+03, 0.516490E+00, 0.395021E+01,
  0.548617E+03, 0.523404E+00, 0.398313E+01,
  0.548770E+03, 0.529182E+00, 0.401604E+01,
  0.548922E+03, 0.533047E+00, 0.404896E+01,
  0.549075E+03, 0.535958E+00, 0.408188E+01,
  0.549227E+03, 0.539244E+00, 0.411480E+01,
  0.549379E+03, 0.542761E+00, 0.414772E+01,
  0.549532E+03, 0.545391E+00, 0.418064E+01,
  0.549684E+03, 0.546394E+00, 0.421356E+01,
  0.549837E+03, 0.546933E+00, 0.424647E+01,
  0.549989E+03, 0.548413E+00, 0.427939E+01,
  0.550141E+03, 0.546264E+00, 0.431231E+01,
  0.550294E+03, 0.537128E+00, 0.434523E+01,
  0.550446E+03, 0.526618E+00, 0.437815E+01,
  0.550599E+03, 0.519504E+00, 0.441107E+01,
  0.550751E+03, 0.515500E+00, 0.444398E+01,
  0.550903E+03, 0.513833E+00, 0.447690E+01,
  0.551056E+03, 0.514473E+00, 0.450982E+01,
  0.551208E+03, 0.516640E+00, 0.454274E+01,
  0.551361E+03, 0.518785E+00, 0.457566E+01,
  0.551513E+03, 0.520061E+00, 0.460858E+01,
  0.551665E+03, 0.520346E+00, 0.464149E+01,
  0.551818E+03, 0.519667E+00, 0.467441E+01,
  0.551970E+03, 0.518570E+00, 0.470733E+01,
  0.552123E+03, 0.518023E+00, 0.474025E+01,
  0.552275E+03, 0.518316E+00, 0.477317E+01,
  0.552427E+03, 0.518606E+00, 0.480609E+01,
  0.552580E+03, 0.518057E+00, 0.483900E+01,
  0.552732E+03, 0.516698E+00, 0.487192E+01,
  0.552885E+03, 0.515235E+00, 0.490484E+01,
  0.553037E+03, 0.514352E+00, 0.493776E+01,
  0.553189E+03, 0.514060E+00, 0.497068E+01,
  0.553342E+03, 0.514012E+00, 0.500360E+01,
  0.553494E+03, 0.514009E+00, 0.503652E+01,
  0.553647E+03, 0.514048E+00, 0.506943E+01,
