Layer,Strata,Age,Depth,VshStrata,VshLayer,VcaStrata,VcaLayer,VcpStrata,VcpLayer,VevStrata,VevLayer,VomStrata,VomLayer,VigStrata,VigLayer,YieldStrata,YieldLayer
  0.100000E+01, 0.100000E+01, 0.000000E+00, 0.000000E+00, 0.100076E+01, 0.528315E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100076E+01, 0.528315E+00,
  0.100000E+01, 0.200000E+01, 0.166667E+01, 0.333333E+00, 0.102744E+01, 0.528315E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.102744E+01, 0.528315E+00,
  0.100000E+01, 0.300000E+01, 0.333333E+01, 0.666667E+00, 0.971802E+00, 0.528315E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.971802E+00, 0.528315E+00,
  0.100000E+01, 0.400000E+01, 0.500000E+01, 0.100000E+01, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.100000E+01,
  0.200000E+01, 0.100000E+01, 0.500000E+01, 0.000000E+00, 0.984731E+00, 0.577690E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.984730E+00, 0.577690E+00,
  0.200000E+01, 0.200000E+01, 0.300000E+02, 0.500000E+00, 0.101527E+01, 0.577690E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.101527E+01, 0.577690E+00,
  0.200000E+01, 0.300000E+01, 0.550000E+02, 0.100000E+01, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.100000E+01,
  0.300000E+01, 0.100000E+01, 0.550000E+02, 0.000000E+00, 0.105710E+01, 0.565271E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.105710E+01, 0.565271E+00,
  0.300000E+01, 0.200000E+01, 0.560000E+02, 0.100000E+00, 0.109563E+01, 0.565271E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.109563E+01, 0.565271E+00,
  0.300000E+01, 0.300000E+01, 0.570000E+02, 0.200000E+00, 0.101574E+01, 0.565271E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.101574E+01, 0.565271E+00,
